"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","wp-btn-label","he-lazy-image src","listingCard__owner-firm","he-lazy-image src 2"
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/163068-847","1 / 21","17.000","08/09/2026","Evonadan Muradiyede Menemen Yoluna Cephe Kiralık 2+1 Açık Mutfak","Kiralık Daire","2 + 1","80 m²","Sıfır Bina","3. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","Coldwell Banker Evona","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/8/0/6/5/5/4/1ea9f44b-b129-46c6-8ae6-8927ae577cee.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/134090-1126","1 / 32","20.000","28/07/2026","Göral Emlak'tan Muradiye Pazar Yerinde Lüks Havuzlu 1+1","Kiralık Daire","1 + 1","65 m²","Sıfır Bina","2. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/9/0/4/3/1/d6e5843a-7d62-43b8-970d-7a5a4d03b9ae.jpg","Göral Emlak",""
"https://www.hepsiemlak.com/manisa-yunusemre-uncubozkoy-kiralik/daire/161221-204","1 / 25","65.000","05/08/2026","Beyazkule Den Uncubozköy De Noran Atrium Sitesinde Kiralık 3+1 Lüks Daire","Kiralık Daire","3 + 1","135 m²","Sıfır Bina","En Üst Kat","Manisa / Yunusemre / Uncubozköy Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/0/3/7/9/6/4/233f4750-698e-4371-aee9-33b3b9a99b57.jpg","Beyaz Kule Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/2/2/1/6/1/aced4dca-ff04-40d7-852d-9f55058f2960.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-pasa-kiralik/daire/125162-855","1 / 11","16.000","03/09/2026","Manisa Akhisarda 2+1 Kiralık Daire","Kiralık Daire","2 + 1","80 m²","31 Yaşında","1. Kat","Manisa / Akhisar / Paşa Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ayn & Ayn Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-turgutlu-selvilitepe-kiralik/daire/165789-85","1 / 12","22.000","28/08/2026","Acarlar Mahallesinde 140m2 Kiralık Daire","Kiralık Daire","3 + 1","155 m²","25 Yaşında","5. Kat","Manisa / Turgutlu / Selvilitepe Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Koçoğlu Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-turgutlu-yilmazlar-kiralik/daire/164247-251","1 / 12","18.000","08/08/2026","Kiralık Asfalt Yakını Eşyalı 1+1 Daire","Kiralık Daire","1 + 1","70 m²","16 Yaşında","3. Kat","Manisa / Turgutlu / Yılmazlar Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Güler Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-akmescit-kiralik/daire/164179-171","1 / 9","22.000","05/09/2026","Akmescid Mahallesi Eşyalı Kiralık 2+1","Kiralık Daire","2 + 1","85 m²","26 Yaşında","Zemin","Manisa / Yunusemre / Akmescit Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Sel Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-ragip-bey-kiralik/daire/162211-298","1 / 14","15.000","26/08/2026","Merkezi Konum 2+1 Kiralık Daire","Kiralık Daire","2 + 1","120 m²","21 Yaşında","4. Kat","Manisa / Akhisar / Ragıp Bey Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Aras Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-hurriyet-kiralik/daire/168888-39","1 / 11","25.000","15/08/2026","Benim Emlak'tan Hürriyet Mahallesinde Eşyalı Kiralık Daire","Kiralık Daire","2 + 0","85 m²","6 Yaşında","2. Kat","Manisa / Akhisar / Hürriyet Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Benim Emlak",""
"https://www.hepsiemlak.com/manisa-alasehir-istasyon-kiralik/daire/167105-33","1 / 6","28.000","30/08/2026","İstasyon Mahallesinde Park Manzaralı Lüks 2+1 Kiralık Daire","Kiralık Daire","2 + 1","110 m²","2 Yaşında","2. Kat","Manisa / Alaşehir / İstasyon Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Özbay Gayrimenkul","https://www.hepsiemlak.com/img/loadings/noImage55-55.png"
