"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","he-lazy-image src"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-kiralik/daire/146381-168","1 / 14","12.000","22/08/2026","İdeal'den Fatih Mahallesi Merkezi Konumlu Kiralık 3+1!!","Kiralık Daire","3 + 1","110 m²","16 Yaşında","Bahçe Katı","Afyonkarahisar / Merkez / Fatih Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/165299-36","1 / 9","11.000","18/08/2026","Kalkan'dan Erenler Mahallesinde 1+1 Bakımlı Daire","Kiralık Daire","1 + 1","55 m²","6 Yaşında","4. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dumlupinar-kiralik/daire/116282-1402","1 / 16","20.000","29/08/2026","Sılam Emlak'tan Dumlupınar Mah. 2+1 Eşyalı Kiralık Daire","Kiralık Daire","2 + 1","90 m²","25 Yaşında","Ara Kat","Afyonkarahisar / Merkez / Dumlupınar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/165299-22","1 / 13","20.000","20/06/2026","Kalkan'dan Sıfır Eşyalı Ultra Lüx 2+0 Kiralık Daire","Kiralık Daire","2 + 0","60 m²","6 Yaşında","2. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/170015-41","1 / 8","11.000","09/09/2026","Erenler Mah. 1+1 Geniş Kiralık Daire","Kiralık Daire","1 + 1","45 m²","6 Yaşında","3. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-afyonkarahisar-osb-kiralik/daire/165299-24","1 / 12","20.000","20/08/2026","Kalkan Gayrimenkul'den Yakıt Aidat İnternet Dahil Kiralık Daire","Kiralık Daire","2 + 1","60 m²","6 Yaşında","2. Kat","Afyonkarahisar / Merkez / Afyonkarahisar OSB Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-osman-gazi-kiralik/daire/146381-321","1 / 13","16.500","03/08/2026","İdeal'den Uydukent'te 1+1 Eşyalı Daire Depozitosuz","Kiralık Daire","1 + 1","50 m²","2 Yaşında","2. Kat","Afyonkarahisar / Merkez / Osman Gazi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/165299-9","1 / 10","12.000","29/06/2026","Kalkan Gayrimenkul'den 2+0 Kiralık Daire","Kiralık Daire","2 + 0","55 m²","6 Yaşında","2. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-istiklal-kiralik/daire/170015-1","1 / 26","20.000","09/09/2026","İstiklal Mah. Cezaevi Yanında 3+1 Kiralık Daire","Kiralık Daire","3 + 1","130 m²","11 Yaşında","1. Kat","Afyonkarahisar / Merkez / İstiklal Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-maresal-fevzi-cakmak-kiralik/daire/0-46579639","1 / 8","19.000","31/08/2026","Mareşal Fevzi Çakmak Mahallesi'nde Bulunan 3+1 Dairemiz Kiralıktır.","Kiralık Daire","4 + 1","110 m²","16 Yaşında","Ara Kat","Afyonkarahisar / Merkez / Mareşal Fevzi Çakmak Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-nazmi-saatci-kiralik/daire/146381-305","1 / 7","10.000","06/07/2026","İdeal'den Nazmi Saatçi Mah. Kiralık 1+0 Daire","Kiralık Daire","Stüdyo","45 m²","16 Yaşında","Bahçe Katı","Afyonkarahisar / Merkez / Nazmi Saatçi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dumlupinar-kiralik/daire/87840-3449","1 / 12","12.500","21/08/2026","Afyon Öztürk Emlaktan Çarşı Merkezde 2+1 Kiralık Daire","Kiralık Daire","2 + 1","115 m²","20 Yaşında","Bodrum","Afyonkarahisar / Merkez / Dumlupınar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/165299-27","1 / 9","16.000","29/06/2026","Kalkan Gayrimenkul'den Kiralık 2+1 Bakımlı Daire","Kiralık Daire","2 + 1","60 m²","6 Yaşında","2. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
