"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","he-lazy-image src"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-esentepe-kiralik/daire/143765-749","1 / 10","20.000","20/08/2026","Nokta Emlaktan Esentepe Mh 1+1 Eşyalı Kiralık Daire","Kiralık Daire","1 + 1","45 m²","6 Yaşında","6. Kat","Afyonkarahisar / Merkez / Esentepe Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/87840-3471","1 / 17","12.000","18/08/2026","Öztürk Emlak'tan Merkez Cumhuriyet Mh'de 3+1 Arakat D.Gazlı Daire","Kiralık Daire","3 + 1","120 m²","27 Yaşında","4. Kat","Afyonkarahisar / Merkez / Cumhuriyet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-gazi-kiralik/daire/0-46794006","1 / 11","18.000","15/07/2026","Harbiş Te 3+1 Doğalgazlı Kiralık Daire","Kiralık Daire","4 + 1","140 m²","40 Yaşında","2. Kat","Afyonkarahisar / Merkez / Gazi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/170015-109","1 / 6","13.500","09/09/2026","Erenler De Merkezi Konumda Kiralık Fırsat Daire","Kiralık Daire","2 + 0","55 m²","6 Yaşında","2. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-kocatepe-kiralik/daire/146381-374","1 / 34","24.000","08/07/2026","Harb-İş ,Kocatepe Mah.'de Güney Cephe , Geniş , Kiralık 3+1","Kiralık Daire","3 + 1","125 m²","5 Yaşında","3. Kat","Afyonkarahisar / Merkez / Kocatepe Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-istiklal-kiralik/daire/0-46908047","1 / 10","14.250","23/08/2026","Sahibinden 2+1 Doğalgazlı","Kiralık Daire","2 + 1","100 m²","20 Yaşında","4. Kat","Afyonkarahisar / Merkez / İstiklal Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dervis-pasa-kiralik/daire/149466-211","1 / 19","20.000","10/09/2026","Sağlam Emlaktan Afyonkarahisar Merkez Dervişpaşada Kiralık 3+1 Afjetli Ara Kat Daire","Kiralık Daire","3 + 1","130 m²","11 Yaşında","2. Kat","Afyonkarahisar / Merkez / Derviş Paşa Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/87840-3470","1 / 17","1.720.000","18/08/2026","Öztürk Emlak'tan Cumhuriyet Mh'de 3. Kat Doğalgazlı 3+1","Kiralık Daire","3 + 1","120 m²","27 Yaşında","4. Kat","Afyonkarahisar / Merkez / Cumhuriyet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-sandikli-cakir-kiralik/daire/170139-7","1 / 9","18.000","17/08/2026","Kiralık 3+1 | Millet Bahçesi Bölgesi | 130 M² | 4. Kat","Kiralık Daire","3 + 1","140 m²","9 Yaşında","Ara Kat","Afyonkarahisar / Sandıklı / Çakır Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-maresal-fevzi-cakmak-kiralik/daire/146381-369","1 / 26","16.500","04/09/2026","Ataköy Migros Yakını Mareşal'de Kiralık 3+1 Güney Cephe Daire","Kiralık Daire","3 + 1","130 m²","21 Yaşında","3. Kat","Afyonkarahisar / Merkez / Mareşal Fevzi Çakmak Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
